S.No.,Date,Nepse Index Value,Absolute Change,Percent Change
1,7/27/2015,1054.89,0.94,0.09%
2,7/28/2015,1028.14,-18.26,-1.75%
3,7/29/2015,1021.33,-6.81,-0.66%
4,7/30/2015,1027.98,6.65,0.65%
5,8/2/2015,1034.14,6.16,0.60%
6,8/3/2015,1030.4,-3.74,-0.36%
7,8/4/2015,1029.92,-0.48,-0.05%
8,8/5/2015,1034.02,4.1,0.40%
9,8/6/2015,1039.02,5,0.48%
10,8/9/2015,1063.41,23.05,2.22%
11,8/10/2015,1081.36,17.95,1.69%
12,8/11/2015,1077.78,-3.58,-0.33%
13,8/12/2015,1077.19,-0.59,-0.05%
14,8/13/2015,1088.42,11.23,1.04%
15,8/16/2015,1112.05,23.63,2.17%
16,8/17/2015,1157.6,45.55,4.10%
17,8/18/2015,1159.93,2.33,0.20%
18,8/19/2015,1191.92,31.99,2.76%
19,8/20/2015,1200.92,9,0.76%
20,8/23/2015,1184.67,-16.25,-1.35%
21,8/24/2015,1181.75,-2.92,-0.25%
22,8/25/2015,1181.41,-0.34,-0.03%
23,8/26/2015,1175.57,-5.84,-0.49%
24,8/27/2015,1183.76,8.19,0.70%
25,8/31/2015,1200.15,16.39,1.38%
26,9/1/2015,1191.34,-8.81,-0.73%
27,9/2/2015,1176.26,-15.08,-1.27%
28,9/3/2015,1169.4,-6.86,-0.58%
29,9/6/2015,1166.69,-2.71,-0.23%
30,9/7/2015,1170.97,4.28,0.37%
31,9/8/2015,1174.69,3.72,0.32%
32,9/9/2015,1173.16,-1.53,-0.13%
33,9/10/2015,1168.71,-4.45,-0.38%
34,9/13/2015,1183.93,15.22,1.30%
35,9/14/2015,1194.11,10.18,0.86%
36,9/15/2015,1205.84,11.73,0.98%
37,9/16/2015,1202.81,-3.03,-0.25%
38,9/17/2015,1196.02,-6.79,-0.56%
39,9/22/2015,1156.08,-39.94,-3.34%
40,9/23/2015,1183.36,27.28,2.36%
41,9/24/2015,1176.86,-6.5,-0.55%
42,9/28/2015,1160.09,-16.77,-1.42%
43,9/29/2015,1169.3,9.21,0.79%
44,9/30/2015,1181.28,11.98,1.02%
45,10/1/2015,1178.74,-2.54,-0.22%
46,10/4/2015,1183.48,4.74,0.40%
47,10/5/2015,1171.27,-12.21,-1.03%
48,10/6/2015,1158.79,-12.48,-1.07%
49,10/7/2015,1149.45,-9.34,-0.81%
50,10/8/2015,1162.06,12.61,1.10%
51,10/11/2015,1143.88,-18.18,-1.56%
52,10/14/2015,1135.09,-8.79,-0.77%
53,10/15/2015,1134.47,-0.62,-0.05%
54,10/18/2015,1119.83,-14.64,-1.29%
55,10/19/2015,1127.42,7.59,0.68%
56,10/25/2015,1121.05,-6.37,-0.57%
57,10/27/2015,1091.73,-29.32,-2.62%
58,10/28/2015,1084.37,-7.36,-0.67%
59,10/29/2015,1092.04,7.67,0.71%
60,11/1/2015,1088.3,-3.74,-0.34%
61,11/2/2015,1091.83,3.53,0.32%
62,11/3/2015,1085.87,-5.96,-0.55%
63,11/4/2015,1092.3,6.43,0.59%
64,11/5/2015,1090.68,-1.62,-0.15%
65,11/8/2015,1086.57,-4.11,-0.38%
66,11/9/2015,1107.43,20.86,1.92%
67,11/10/2015,1109.29,1.86,0.17%
68,11/15/2015,1100.09,-9.2,-0.83%
69,11/16/2015,1094.18,-5.91,-0.54%
70,11/18/2015,1099.25,5.07,0.46%
71,11/19/2015,1094.57,-4.68,-0.43%
72,11/22/2015,1071.38,-23.19,-2.12%
73,11/23/2015,1075.8,4.42,0.41%
74,11/24/2015,1066.69,-9.11,-0.85%
75,11/25/2015,1056.42,-10.27,-0.96%
76,11/26/2015,1044.01,-12.41,-1.17%
77,12/1/2015,1066.38,32.26,3.12%
78,12/2/2015,1062.78,-3.6,-0.34%
79,12/3/2015,1072.94,10.16,0.96%
80,12/6/2015,1103.21,30.27,2.82%
81,12/7/2015,1107.94,5.1,0.46%
82,12/8/2015,1107.23,-0.71,-0.06%
83,12/9/2015,1122.79,15.56,1.41%
84,12/10/2015,1119.35,-3.44,-0.31%
85,12/13/2015,1118.57,-0.78,-0.07%
86,12/14/2015,1120.18,1.61,0.14%
87,12/15/2015,1121.02,0.84,0.07%
88,12/16/2015,1116.19,-4.83,-0.43%
89,12/17/2015,1110.68,-5.51,-0.49%
90,12/20/2015,1118.95,8.27,0.74%
91,12/21/2015,1131.52,12.57,1.12%
92,12/22/2015,1138.18,6.66,0.59%
93,12/23/2015,1133.34,-4.84,-0.43%
94,12/24/2015,1137.03,3.69,0.33%
95,12/27/2015,1135.47,-1.56,-0.14%
96,12/28/2015,1131.95,-3.52,-0.31%
97,12/29/2015,1142.17,10.22,0.90%
98,12/31/2015,1151.38,9.21,0.81%
99,1/3/2016,1160.84,9.46,0.82%
100,1/4/2016,1154.62,-6.22,-0.54%
101,1/6/2016,1149.89,3.12,0.27%
102,1/7/2016,1164.14,14.25,1.24%
103,1/10/2016,1167.18,3.04,0.26%
104,1/11/2016,1168.81,1.63,0.14%
105,1/12/2016,1173.6,4.79,0.41%
106,1/13/2016,1180.98,7.38,0.63%
107,1/14/2016,1190.16,9.18,0.78%
108,1/17/2016,1209.8,19.64,1.65%
109,1/18/2016,1214.31,2.31,0.19%
110,1/19/2016,1213.71,-0.6,-0.05%
111,1/20/2016,1213.57,-0.14,-0.01%
112,1/21/2016,1212.32,-1.25,-0.10%
113,1/24/2016,1219.62,7.3,0.60%
114,1/25/2016,1222.43,2.81,0.23%
115,1/26/2016,1218.39,-4.04,-0.33%
116,1/27/2016,1216.96,-1.43,-0.12%
117,1/28/2016,1216.11,-0.85,-0.07%
118,1/31/2016,1220.7,4.59,0.38%
119,2/1/2016,1238.02,17.32,1.42%
120,2/2/2016,1240.07,2.05,0.17%
121,2/3/2016,1242.13,2.06,0.17%
122,2/4/2016,1251.29,9.16,0.74%
123,2/7/2016,1262.82,11.4,0.91%
124,2/8/2016,1263.75,0.93,0.07%
125,2/11/2016,1263.72,-0.03,0%
126,2/14/2016,1259.35,-4.37,-0.35%
127,2/15/2016,1258.23,-1.12,-0.09%
128,2/16/2016,1257.34,-0.89,-0.07%
129,2/17/2016,1262.52,5.18,0.41%
130,2/18/2016,1273.28,7.2,0.57%
131,2/21/2016,1278.92,5.64,0.44%
132,2/22/2016,1291.81,12.89,1.01%
133,2/23/2016,1285.93,-5.88,-0.46%
134,2/24/2016,1279.9,-6.03,-0.47%
135,2/25/2016,1283.52,3.62,0.28%
136,2/28/2016,1283.67,0.15,0.01%
137,2/29/2016,1283.94,0.27,0.02%
138,3/1/2016,1289.52,5.58,0.43%
139,3/2/2016,1295.78,6.26,0.49%
140,3/3/2016,1300.76,4.98,0.38%
141,3/6/2016,1306.54,5.78,0.44%
142,3/10/2016,1318.03,11.49,0.88%
143,3/13/2016,1318.88,0.85,0.06%
144,3/14/2016,1312.2,-6.68,-0.51%
145,3/15/2016,1312.85,0.65,0.05%
146,3/16/2016,1315.77,2.92,0.22%
147,3/17/2016,1326.53,10.76,0.82%
148,3/20/2016,1343.93,17.4,1.31%
149,3/21/2016,1342.07,-1.86,-0.14%
150,3/23/2016,1345.53,3.46,0.26%
151,3/24/2016,1357.14,11.61,0.86%
152,3/27/2016,1377.33,20.19,1.49%
153,3/28/2016,1374.75,-2.58,-0.19%
154,3/29/2016,1370.04,-4.71,-0.34%
155,3/30/2016,1362.98,-7.06,-0.52%
156,3/31/2016,1355.48,-7.5,-0.55%
157,4/3/2016,1351.54,-3.94,-0.29%
158,4/4/2016,1362.53,10.99,0.81%
159,4/5/2016,1375.26,12.73,0.93%
160,4/6/2016,1377.42,2.16,0.16%
161,4/10/2016,1382.42,5,0.36%
162,4/11/2016,1383.85,1.43,0.10%
163,4/12/2016,1388.63,4.78,0.35%
164,4/14/2016,1405.78,17.15,1.24%
165,4/17/2016,1409.43,3.65,0.26%
166,4/18/2016,1428.6,19.17,1.36%
167,4/19/2016,1430.81,2.21,0.15%
168,4/20/2016,1440.69,9.88,0.69%
169,4/21/2016,1441.67,0.98,0.07%
170,4/24/2016,1454.35,12.68,0.88%
171,4/25/2016,1461.75,7.4,0.51%
172,4/26/2016,1453.11,-8.64,-0.59%
173,4/27/2016,1458.38,5.27,0.36%
174,4/28/2016,1464.91,6.53,0.45%
175,5/2/2016,1474.47,9.56,0.65%
176,5/3/2016,1471.95,-2.52,-0.17%
177,5/4/2016,1468.11,-3.84,-0.26%
178,5/5/2016,1463.13,-4.98,-0.34%
179,5/8/2016,1472.69,9.56,0.65%
180,5/9/2016,1482.9,10.21,0.69%
181,5/10/2016,1484.04,1.14,0.08%
182,5/11/2016,1481.18,-2.86,-0.19%
183,5/12/2016,1481.94,0.76,0.05%
184,5/15/2016,1477.38,-4.56,-0.31%
185,5/16/2016,1467.51,-9.87,-0.67%
186,5/17/2016,1483.68,16.17,1.10%
187,5/18/2016,1496.41,12.73,0.86%
188,5/19/2016,1499.32,2.91,0.19%
189,5/22/2016,1509.39,10.07,0.67%
190,5/23/2016,1524.07,14.68,0.97%
191,5/24/2016,1544.53,20.46,1.34%
192,5/25/2016,1524.12,-20.41,-1.32%
193,5/26/2016,1525.09,0.97,0.06%
194,5/29/2016,1522.25,-2.84,-0.19%
195,5/30/2016,1526.96,4.71,0.31%
196,5/31/2016,1532.12,5.16,0.34%
197,6/1/2016,1523.56,-8.56,-0.56%
198,6/2/2016,1518.12,-5.44,-0.36%
199,6/5/2016,1483.14,-34.98,-2.30%
200,6/6/2016,1516.8,33.66,2.27%
201,6/7/2016,1531.49,14.69,0.97%
202,6/8/2016,1546.8,15.31,1%
203,6/9/2016,1566.7,19.9,1.29%
204,6/12/2016,1597.96,31.26,2%
205,6/13/2016,1609.59,11.63,0.73%
206,6/14/2016,1614.15,4.56,0.28%
207,6/15/2016,1620.47,6.32,0.39%
208,6/16/2016,1632.94,12.47,0.77%
209,6/19/2016,1622.27,-10.67,-0.65%
210,6/20/2016,1615.1,-7.17,-0.44%
211,6/21/2016,1628.81,13.71,0.85%
212,6/22/2016,1647.51,18.7,1.15%
213,6/23/2016,1666.83,19.32,1.17%
214,6/26/2016,1685.17,18.88,1.13%
215,6/27/2016,1712.84,36.6,1.64%
216,6/28/2016,1724.19,11.35,0.66%
217,6/29/2016,1724.59,0.4,0.02%
218,6/30/2016,1723.23,-1.36,-0.08%
219,7/3/2016,1719.2,-4.03,-0.23%
220,7/4/2016,1716.83,-2.37,-0.14%
221,7/5/2016,1713.03,-3.8,-0.22%
222,7/6/2016,1715.72,2.69,0.16%
223,7/10/2016,1722.53,6.81,0.40%
224,7/11/2016,1702.27,-20.26,-1.18%
225,7/12/2016,1693.07,-9.2,-0.54%
226,7/13/2016,1690.43,-2.64,-0.16%
227,7/14/2016,1718.15,27.72,1.64%
228,7/17/2016,1745.74,27.59,1.61%
229,7/18/2016,1783,37.26,2.13%
230,7/19/2016,1800.47,13.9,0.78%
231,7/20/2016,1786.84,-13.63,-0.76%
232,7/21/2016,1798.83,0,0%
233,7/25/2016,1833.89,35.06,1.95%
234,7/26/2016,1866.5,28.01,1.52%
235,7/27/2016,1881.45,14.95,0.80%
236,7/28/2016,1877.93,-3.52,-0.19%
237,7/31/2016,1862.76,-15.17,-0.81%
238,8/1/2016,1845.41,-17.35,-0.93%
239,8/2/2016,1826.47,-18.94,-1.03%
240,8/3/2016,1813.72,-12.75,-0.70%
241,8/4/2016,1768.6,-45.12,-2.49%
242,8/7/2016,1764.72,-3.88,-0.22%
243,8/8/2016,1675.91,-88.81,-5.03%
244,8/9/2016,1760.42,84.51,5.04%
245,8/10/2016,1779.57,19.15,1.09%
246,8/11/2016,1774.87,-4.7,-0.26%
247,8/14/2016,1733.93,-40.94,-2.31%
248,8/15/2016,1694.81,-39.12,-2.26%
249,8/16/2016,1717.45,22.64,1.34%
250,8/17/2016,1734.99,17.54,1.02%
251,8/21/2016,1722.43,-12.63,-0.73%
252,8/22/2016,1683.12,-39.31,-2.28%
253,8/23/2016,1681.86,-1.26,-0.07%
254,8/24/2016,1730.62,48.76,2.90%
255,8/28/2016,1748.23,17.61,1.02%
