Symbol,LTP,LTV,% Change,High,Low,Open,Qty.
ADBL,518.0,100,-1.71,530.0,515.0,530.0,87068
AHPC,218.0,124,-2.68,227.0,217.0,227.0,57417
AIL,683.0,10,-1.16,697.0,671.0,680.0,24255
AKJCL,130.0,20,-2.26,132.0,129.0,131.0,4320
AKPL,260.0,124,0.0,264.0,255.0,255.0,83752
ALBSL,999.0,50,-0.1,1055.0,961.0,985.0,8795
ALICL,927.0,686,-1.59,989.0,916.0,989.0,59705
API,244.0,500,-0.41,258.0,241.0,244.0,107640
BBC,2700.0,10,-3.33,2800.0,2653.0,2800.0,1607
BFC,128.0,278,-2.29,139.0,127.0,132.0,24927
BNT,8535.0,10,-1.92,8702.0,8535.0,8650.0,230
BOKL,251.0,20,-0.4,256.0,251.0,252.0,82743
BPCL,447.0,10,-0.45,454.0,446.0,449.0,28813
CBBL,1441.0,10,-1.71,1494.0,1440.0,1470.0,42935
CBL,178.0,50,0.0,183.0,176.0,176.0,99789
CCBL,205.0,447,-0.49,207.0,201.0,206.0,157504
CCBLPO,112.0,106000,0.0,112.0,112.0,112.0,125000
CFCL,159.0,150,-0.62,160.0,157.0,157.0,10581
CHCL,528.0,250,0.57,545.0,525.0,535.0,50137
CHL,193.0,270,9.66,193.0,184.0,184.0,143827
CIT,5480.0,40,4.68,5520.0,5200.0,5235.0,48027
CLBSL,864.0,100,2.86,905.0,840.0,840.0,23066
CMF1,10.14,500,1.4,10.14,9.85,9.85,81100
CMF2,9.85,700,0.0,9.85,9.67,9.67,6900
CORBL,213.0,40,-0.47,214.0,210.0,214.0,675
CZBIL,238.0,31,0.42,242.0,235.0,238.0,142385
DDBL,1468.0,10,-1.01,1510.0,1440.0,1499.0,41755
DHPL,109.0,37,-0.91,113.0,109.0,109.0,4528
EBL,706.0,10,0.28,710.0,698.0,700.0,66712
EDBL,350.0,10,-0.28,358.0,345.0,358.0,3622
EIC,550.0,100,-1.61,556.0,546.0,554.0,15337
EICPO,269.0,500,9.8,269.0,245.0,245.0,12157
FMDBL,617.0,10,0.82,635.0,611.0,620.0,85127
FOWAD,2318.0,12,-1.32,2399.0,2240.0,2350.0,11947
GBBL,303.0,20,-2.88,316.0,301.0,315.0,83955
GBD80/81,1027.0,50,-1.25,1040.0,1026.0,1040.0,150
GBIME,339.0,100,-0.88,344.0,338.0,342.0,159315
GBLBS,615.0,10,-0.81,630.0,601.0,625.0,32170
GFCL,207.0,570,-0.48,212.0,205.0,206.0,5171
GHL,117.0,20,-0.85,120.0,115.0,117.0,10610
GIC,571.0,10,-1.04,576.0,554.0,571.0,13272
GILB,1745.0,10,-2.51,1836.0,1711.0,1780.0,17951
GIMES1,11.1,15000,0.0,11.21,11.0,11.0,150000
GLBSL,899.0,20,-3.23,960.0,887.0,929.0,5728
GLICL,643.0,10,-1.68,666.0,641.0,650.0,45325
GMFBS,1010.0,10,2.02,1034.0,960.0,1008.0,4261
GMFIL,204.0,50,0.49,204.0,199.0,200.0,16752
GRDBL,151.0,90,-2.58,153.0,149.0,152.0,7300
GUFL,196.0,100,-2.0,197.0,192.0,196.0,22135
HBL,640.0,238,0.0,645.0,632.0,635.0,21347
HDHPC,131.0,200,-2.24,140.0,131.0,140.0,109962
HDL,4400.0,500,0.57,4462.0,4250.0,4375.0,38437
HGI,628.0,10,2.61,628.0,608.0,615.0,43787
HIDCL,281.0,21,-1.06,285.0,277.0,282.0,126368
HPPL,230.0,460,-0.86,236.0,226.0,229.0,12674
HURJA,206.0,20,-1.9,216.0,204.0,206.0,6550
ICFC,289.0,30,-1.03,296.0,281.0,296.0,34899
IGI,592.0,100,-1.5,600.0,585.0,599.0,58714
ILBS,1064.0,50,-1.48,1123.0,1060.0,1080.0,12546
JBBL,229.0,300,1.78,233.0,217.0,222.0,244829
JFL,245.0,46,-2.78,257.0,241.0,257.0,6185
JOSHI,116.0,20,-3.33,118.0,116.0,118.0,6162
JSLBB,1751.0,50,0.81,1840.0,1751.0,1770.0,5881
KBL,236.0,25,-0.84,242.0,235.0,242.0,151499
KKHC,111.0,128,-5.93,116.0,111.0,116.0,2409
KMCDB,905.0,20,0.33,950.0,867.0,919.0,18668
KPCL,204.0,10,-2.39,210.0,203.0,206.0,11819
KRBL,138.0,20,-0.72,138.0,135.0,137.0,8581
KSBBL,223.0,1454,0.0,228.0,223.0,223.0,29642
LBBL,228.0,82,-1.3,238.0,226.0,227.0,31687
LBL,279.0,500,-0.71,283.0,278.0,281.0,60167
LEC,221.0,750,-2.21,230.0,219.0,222.0,16988
LEMF,10.0,1000,-1.48,10.14,9.95,9.95,32600
LGIL,601.0,100,-0.66,613.0,593.0,600.0,42717
LICN,1970.0,10,-2.52,2035.0,1940.0,2000.0,32222
LLBS,1570.0,37,-3.33,1644.0,1557.0,1600.0,5084
LUK,9.25,100,-1.28,9.26,9.2,9.2,4100
MBL,247.0,29,-2.37,255.0,246.0,251.0,150541
MDB,386.0,50,1.05,391.0,383.0,389.0,9764
MEGA,276.0,200,2.99,283.0,270.0,270.0,596733
MEN,415.0,10,9.79,415.0,396.0,396.0,82221
MERO,980.0,10,1.98,1000.0,960.0,980.0,50714
MFIL,385.0,777,-1.79,391.0,385.0,390.0,71929
MHNL,193.0,30,-3.02,200.0,193.0,199.0,11095
MLBBL,1276.0,10,0.08,1310.0,1260.0,1300.0,4286
MLBL,247.0,88,-1.59,251.0,245.0,250.0,14059
MMFDB,1068.0,72,4.71,1110.0,1006.0,1007.0,39869
MNBBL,385.0,50,-0.52,391.0,385.0,385.0,54335
MPFL,158.0,49,-3.66,167.0,158.0,166.0,2982
MSLB,1439.0,31,9.93,1439.0,1335.0,1335.0,1123
MSMBS,939.0,12,-0.11,974.0,930.0,940.0,4498
NABBC,591.0,100,-7.51,686.0,580.0,670.0,4695
NABIL,1235.0,462,-1.04,1255.0,1228.0,1250.0,101916
NADEP,1020.0,22,0.99,1048.0,995.0,1025.0,13820
NBB,269.0,110,-1.47,286.0,267.0,286.0,114652
NBF2,9.72,9400,-1.12,9.91,9.64,9.65,40700
NBL,390.0,100,-6.25,410.0,387.0,410.0,961477
NCCB,312.0,200,-4.0,330.0,310.0,330.0,395858
NEF,9.94,1066,-0.6,10.17,9.7,9.81,172586
NFS,233.0,30,3.56,233.0,228.0,228.0,4214
NGPL,246.0,1000,-0.4,250.0,242.0,247.0,36881
NHDL,233.0,10,0.0,237.0,227.0,229.0,513
NHPC,119.0,100,-0.83,124.0,116.0,118.0,157956
NIB,509.0,100,-2.3,523.0,501.0,520.0,97114
NIBLPF,10.08,556,-2.14,10.48,10.04,10.1,1165920
NIBPO,454.0,200,-2.99,465.0,441.0,460.0,27862
NIBSF1,11.16,3805,-0.45,11.3,11.06,11.06,102931
NICA,690.0,10,3.14,699.0,665.0,665.0,349388
NICBF,10.0,600,2.99,10.0,9.7,9.7,16350
NICGF,10.45,1500,1.26,10.52,10.22,10.32,515350
NICL,632.0,170,-1.25,648.0,624.0,648.0,48117
NIL,1205.0,40,-2.43,1248.0,1200.0,1235.0,81367
NLBBL,1093.0,50,-1.71,1163.0,1069.0,1091.0,33978
NLBSL,1160.0,150,2.84,1240.0,1141.0,1150.0,7775
NLG,743.0,100,0.41,753.0,740.0,740.0,35352
NLIC,2195.0,200,-2.1,2270.0,2172.0,2260.0,250312
NLICL,1040.0,100,-2.35,1080.0,1031.0,1066.0,234589
NMB,452.0,1000,-1.09,479.0,450.0,479.0,145867
NMB50,10.29,200,2.59,10.29,9.9,9.9,4500
NMBHF1,9.93,1577,-1.0,10.03,9.86,9.86,61475
NMBMF,1190.0,100,3.03,1226.0,1150.0,1150.0,32216
NMFBS,2189.0,20,-3.78,2310.0,2153.0,2300.0,2923
NRIC,1492.0,20,-5.81,1543.0,1485.0,1505.0,531600
NRN,380.0,10,-1.3,383.0,375.0,380.0,21419
NTC,1150.0,10,-1.79,1183.0,1146.0,1171.0,68442
NUBL,1275.0,100,-1.77,1320.0,1258.0,1297.0,16355
OHL,467.0,439,-4.11,487.0,467.0,480.0,7998
PCBL,407.0,200,-1.21,415.0,401.0,410.0,162011
PFL,193.0,17,0.0,194.0,189.0,191.0,2614
PIC,951.0,40,3.37,966.0,916.0,966.0,84870
PICL,561.0,37,0.18,571.0,559.0,571.0,37569
